"American Exchange Bank, Lindsay, Oklahoma",,"$74,732,000",,https://www.usbanklocations.com/american-exchange-bank-lindsay-oklahoma-locations.htm
American Exchange Bank,,"$68,523,000",,https://www.usbanklocations.com/american-exchange-bank-locations.htm
Peoples Exchange Bank,,"$67,550,000",,https://www.usbanklocations.com/peoples-exchange-bank-locations.htm
Valley Exchange Bank,,"$66,398,000",,https://www.usbanklocations.com/valley-exchange-bank-locations.htm
The State Exchange Bank,,"$65,541,000",,https://www.usbanklocations.com/the-state-exchange-bank-locations.htm
Heritage Bank,,"$59,549,000",,https://www.usbanklocations.com/heritage-bank-locations.htm
G. W. Jones Exchange Bank,,"$59,523,000",,https://www.usbanklocations.com/g-w-jones-exchange-bank-locations.htm
Heritage Bank Minnesota,,"$52,147,000",,https://www.usbanklocations.com/heritage-bank-minnesota-locations.htm
"The Stock Exchange Bank, Caldwell, Kansas",,"$52,113,000",,https://www.usbanklocations.com/the-stock-exchange-bank-caldwell-kansas-locations.htm
American Exchange Bank,,"$50,709,000",,https://www.usbanklocations.com/american-exchange-bank-locations.htm
First Heritage Bank,,"$38,362,000",,https://www.usbanklocations.com/first-heritage-bank-locations.htm
State Central Bank,,"$37,705,000",,https://www.usbanklocations.com/state-central-bank-locations.htm
Heritage Bank,,"$36,336,000",,https://www.usbanklocations.com/heritage-bank-locations.htm
The State Exchange Bank,,"$34,674,000",,https://www.usbanklocations.com/the-state-exchange-bank-locations.htm
